"TIME","GEO","WAT_PROC","WAT_SRC","UNIT","Value","Flag and Footnotes"
"2006","Belgium","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","6,444.8",""
"2006","Belgium","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","741.1",""
"2006","Belgium","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","36.8",""
"2006","Belgium","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","1,365.6",""
"2006","Belgium","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","6,414.2",""
"2006","Bulgaria","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","6,577.29",""
"2006","Bulgaria","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","1,026.39",""
"2006","Bulgaria","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","875.9",""
"2006","Bulgaria","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","237.27",""
"2006","Bulgaria","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","6,576.19",""
"2006","Czech Republic","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","1,936.9",""
"2006","Czech Republic","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","706",""
"2006","Czech Republic","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","23.4",""
"2006","Czech Republic","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","314.1",""
"2006","Czech Republic","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","1,886.2",""
"2006","Denmark","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","675.8",""
"2006","Denmark","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","403.5",""
"2006","Denmark","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","235.2",""
"2006","Denmark","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","32.2",""
"2006","Denmark","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Estonia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","1,560.2",""
"2006","Estonia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","46.6",""
"2006","Estonia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","10",""
"2006","Estonia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","40.8",""
"2006","Estonia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","1,377.8",""
"2006","Ireland","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Ireland","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Ireland","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Ireland","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Ireland","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","0",""
"2006","Greece","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","9,447.3",""
"2006","Greece","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","913",""
"2006","Greece","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","8,455.3",""
"2006","Greece","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Greece","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","9,402.3",""
"2006","Spain","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","36,328.2",""
"2006","Spain","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,701",""
"2006","Spain","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","23,214",""
"2006","Spain","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","791",""
"2006","Spain","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","36,328.2",""
"2006","France","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","32,552.2","d"
"2006","France","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","5,861.7","d"
"2006","France","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","4,757","d"
"2006","France","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","2,861.3","d"
"2006","France","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","32,552.2",""
"2006","Croatia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Croatia","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","483.5",""
"2006","Croatia","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","5.3",""
"2006","Croatia","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres","37.8",""
"2006","Croatia","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","463.8",""
"2006","Italy","Total gross abstraction","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Italy","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Italy","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Italy","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Italy","Water abstraction - net","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Cyprus","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","233.1",""
"2006","Cyprus","Water abstraction for public water supply","Fresh surface and groundwater","Million cubic metres","65.2",""
"2006","Cyprus","Water abstraction for agriculture","Fresh surface and groundwater","Million cubic metres","153.2",""
"2006","Cyprus","Water abstraction for manufacturing industry","Fresh surface and groundwater","Million cubic metres",":",""
"2006","Cyprus","Water abstraction - net","Fresh surface and groundwater","Million cubic metres","218.4",""
"2006","Latvia","Total gross abstraction","Fresh surface and groundwater","Million cubic metres","208.9",""
