"TIME","GEO","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Precipitation","138.45",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Actual evapotranspiration","85.59",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Internal Flow","52.86",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Total actual outflow",":",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Renewable freshwater resources",":",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Recharge into the aquifer",":",""
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Prov. Brabant Wallon","Million cubic metres","Precipitation","977.14",""
"2000","Prov. Brabant Wallon","Million cubic metres","Actual evapotranspiration","623.8",""
"2000","Prov. Brabant Wallon","Million cubic metres","Internal Flow","353.34",""
"2000","Prov. Brabant Wallon","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Prov. Brabant Wallon","Million cubic metres","Total actual outflow",":",""
"2000","Prov. Brabant Wallon","Million cubic metres","Renewable freshwater resources",":",""
"2000","Prov. Brabant Wallon","Million cubic metres","Recharge into the aquifer",":",""
"2000","Prov. Brabant Wallon","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Prov. Hainaut","Million cubic metres","Precipitation","3,747.83",""
"2000","Prov. Hainaut","Million cubic metres","Actual evapotranspiration","2,233.56",""
"2000","Prov. Hainaut","Million cubic metres","Internal Flow","1,514.28",""
"2000","Prov. Hainaut","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Prov. Hainaut","Million cubic metres","Total actual outflow",":",""
"2000","Prov. Hainaut","Million cubic metres","Renewable freshwater resources",":",""
"2000","Prov. Hainaut","Million cubic metres","Recharge into the aquifer",":",""
"2000","Prov. Hainaut","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Prov. Liège","Million cubic metres","Precipitation","4,240.82",""
"2000","Prov. Liège","Million cubic metres","Actual evapotranspiration","2,383.05",""
"2000","Prov. Liège","Million cubic metres","Internal Flow","1,857.77",""
"2000","Prov. Liège","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Prov. Liège","Million cubic metres","Total actual outflow",":",""
"2000","Prov. Liège","Million cubic metres","Renewable freshwater resources",":",""
"2000","Prov. Liège","Million cubic metres","Recharge into the aquifer",":",""
"2000","Prov. Liège","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Precipitation","5,660.65",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Actual evapotranspiration","2,690.47",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Internal Flow","2,970.18",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Total actual outflow",":",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Renewable freshwater resources",":",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Recharge into the aquifer",":",""
"2000","Prov. Luxembourg (BE)","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Prov. Namur","Million cubic metres","Precipitation","3,918.96",""
"2000","Prov. Namur","Million cubic metres","Actual evapotranspiration","2,232.6",""
"2000","Prov. Namur","Million cubic metres","Internal Flow","1,686.36",""
"2000","Prov. Namur","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Prov. Namur","Million cubic metres","Total actual outflow",":",""
"2000","Prov. Namur","Million cubic metres","Renewable freshwater resources",":",""
"2000","Prov. Namur","Million cubic metres","Recharge into the aquifer",":",""
"2000","Prov. Namur","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Eesti","Million cubic metres","Precipitation","29,117",""
"2000","Eesti","Million cubic metres","Actual evapotranspiration",":",""
"2000","Eesti","Million cubic metres","Internal Flow",":",""
"2000","Eesti","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Eesti","Million cubic metres","Total actual outflow","11,268",""
"2000","Eesti","Million cubic metres","Renewable freshwater resources",":",""
"2000","Eesti","Million cubic metres","Recharge into the aquifer","2,912",""
"2000","Eesti","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Galicia","Million cubic metres","Precipitation","47,526.31",""
"2000","Galicia","Million cubic metres","Actual evapotranspiration","15,905.89",""
"2000","Galicia","Million cubic metres","Internal Flow","31,620.41",""
"2000","Galicia","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Galicia","Million cubic metres","Total actual outflow","28,792.24",""
"2000","Galicia","Million cubic metres","Renewable freshwater resources",":",""
"2000","Galicia","Million cubic metres","Recharge into the aquifer",":",""
"2000","Galicia","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Principado de Asturias","Million cubic metres","Precipitation","12,438.03",""
"2000","Principado de Asturias","Million cubic metres","Actual evapotranspiration","5,037.35",""
"2000","Principado de Asturias","Million cubic metres","Internal Flow","7,400.68",""
"2000","Principado de Asturias","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Principado de Asturias","Million cubic metres","Total actual outflow","3,543.63",""
"2000","Principado de Asturias","Million cubic metres","Renewable freshwater resources",":",""
"2000","Principado de Asturias","Million cubic metres","Recharge into the aquifer",":",""
"2000","Principado de Asturias","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Cantabria","Million cubic metres","Precipitation","5,363.15",""
"2000","Cantabria","Million cubic metres","Actual evapotranspiration","2,874.11",""
"2000","Cantabria","Million cubic metres","Internal Flow","2,489.04",""
"2000","Cantabria","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Cantabria","Million cubic metres","Total actual outflow","17.09",""
"2000","Cantabria","Million cubic metres","Renewable freshwater resources",":",""
"2000","Cantabria","Million cubic metres","Recharge into the aquifer",":",""
"2000","Cantabria","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","País Vasco","Million cubic metres","Precipitation","8,103.37",""
"2000","País Vasco","Million cubic metres","Actual evapotranspiration","4,124.37",""
"2000","País Vasco","Million cubic metres","Internal Flow","3,979",""
"2000","País Vasco","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","País Vasco","Million cubic metres","Total actual outflow","41.03",""
"2000","País Vasco","Million cubic metres","Renewable freshwater resources",":",""
"2000","País Vasco","Million cubic metres","Recharge into the aquifer",":",""
"2000","País Vasco","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Precipitation","10,136.17",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Actual evapotranspiration","5,301.06",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Internal Flow","4,835.11",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Total actual outflow","21.61",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Renewable freshwater resources",":",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Recharge into the aquifer",":",""
"2000","Comunidad Foral de Navarra","Million cubic metres","Groundwater available for annual abstraction",":",""
"2000","La Rioja","Million cubic metres","Precipitation","2,799.62",""
"2000","La Rioja","Million cubic metres","Actual evapotranspiration","2,077.24",""
"2000","La Rioja","Million cubic metres","Internal Flow","722.38",""
"2000","La Rioja","Million cubic metres","Actual external inflow from neighbouring territories",":",""
"2000","La Rioja","Million cubic metres","Total actual outflow",":",""
"2000","La Rioja","Million cubic metres","Renewable freshwater resources",":",""
"2000","La Rioja","Million cubic metres","Recharge into the aquifer",":",""
"2000","La Rioja","Million cubic metres","Groundwater available for annual abstraction",":",""
