TIME,GEO,NACE_R2,UNIT,WAT_PROC,Value,Flag and Footnotes
2000,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Severozapaden,Total - all NACE activities,Percentage,Population connected to public water supply (%),99,
2000,Severen tsentralen,Total - all NACE activities,Percentage,Population connected to public water supply (%),99,
2000,Severoiztochen,Total - all NACE activities,Percentage,Population connected to public water supply (%),100,
2000,Yugoiztochen,Total - all NACE activities,Percentage,Population connected to public water supply (%),100,
2000,Yugozapaden,Total - all NACE activities,Percentage,Population connected to public water supply (%),99,
2000,Yuzhen tsentralen,Total - all NACE activities,Percentage,Population connected to public water supply (%),97,
2000,Praha,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Stredn� Cechy,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Jihoz�pad,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Severoz�pad,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Severov�chod,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Jihov�chod,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Stredn� Morava,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Moravskoslezsko,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Stuttgart,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Karlsruhe,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Freiburg,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,T�bingen,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Oberbayern,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Niederbayern,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Oberpfalz,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Oberfranken,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Mittelfranken,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Unterfranken,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Schwaben,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Berlin,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
2000,Brandenburg,Total - all NACE activities,Percentage,Population connected to public water supply (%),:,
